"26年03月","材料使用計画表","単位:材料=Kg 部品=個","作成日：","西暦26/03/16"
"部番","品名","在庫予定",,"合計","01*","02 ","03 ","04 ","05 ","06 ","07*","08*","09 ","10 ","11 ","12 ","13 ","14*","15*","16 ","17 ","18 ","19 ","20*","21*","22*","23 ","24 ","25 ","26 ","27 ","28*","29*","30 ","31 "
"8-5233","PBT 5010GN2-30X2 BK8E(黒)",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5234","ﾌﾟﾗｲﾑPP J105G ﾅﾁｭﾗﾙ",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5234","ﾌﾟﾗｲﾑPP J105G ﾅﾁｭﾗﾙ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5234","ﾌﾟﾗｲﾑPP J105G ﾅﾁｭﾗﾙ",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5234","ﾌﾟﾗｲﾑPP J105G ﾅﾁｭﾗﾙ",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5234","ﾌﾟﾗｲﾑPP J105G ﾅﾁｭﾗﾙ",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5234","ﾌﾟﾗｲﾑPP J105G ﾅﾁｭﾗﾙ",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5234","ﾌﾟﾗｲﾑPP J105G ﾅﾁｭﾗﾙ",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5238","ﾌﾟﾗｲﾑPP J105G ﾅﾁｭﾗﾙ",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5238","ﾌﾟﾗｲﾑPP J105G ﾅﾁｭﾗﾙ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5238","ﾌﾟﾗｲﾑPP J105G ﾅﾁｭﾗﾙ",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5238","ﾌﾟﾗｲﾑPP J105G ﾅﾁｭﾗﾙ",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5238","ﾌﾟﾗｲﾑPP J105G ﾅﾁｭﾗﾙ",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5238","ﾌﾟﾗｲﾑPP J105G ﾅﾁｭﾗﾙ",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5238","ﾌﾟﾗｲﾑPP J105G ﾅﾁｭﾗﾙ",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5239","ｱｻｸﾘﾝ PF",,"実在庫",40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
"8-5239","ｱｻｸﾘﾝ PF",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5239","ｱｻｸﾘﾝ PF",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5239","ｱｻｸﾘﾝ PF",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5239","ｱｻｸﾘﾝ PF",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5239","ｱｻｸﾘﾝ PF",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5239","ｱｻｸﾘﾝ PF",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5240","ｱｻｸﾘﾝ SL",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5240","ｱｻｸﾘﾝ SL",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5240","ｱｻｸﾘﾝ SL",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5240","ｱｻｸﾘﾝ SL",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5240","ｱｻｸﾘﾝ SL",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5240","ｱｻｸﾘﾝ SL",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5240","ｱｻｸﾘﾝ SL",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5241","ｲﾃﾞﾐﾂPPS N501F3-S0507(ﾅﾁｭﾗﾙ)",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5241","ｲﾃﾞﾐﾂPPS N501F3-S0507(ﾅﾁｭﾗﾙ)",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5241","ｲﾃﾞﾐﾂPPS N501F3-S0507(ﾅﾁｭﾗﾙ)",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5241","ｲﾃﾞﾐﾂPPS N501F3-S0507(ﾅﾁｭﾗﾙ)",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5241","ｲﾃﾞﾐﾂPPS N501F3-S0507(ﾅﾁｭﾗﾙ)",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5241","ｲﾃﾞﾐﾂPPS N501F3-S0507(ﾅﾁｭﾗﾙ)",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5241","ｲﾃﾞﾐﾂPPS N501F3-S0507(ﾅﾁｭﾗﾙ)",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5299","試作材",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5299","試作材",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5299","試作材",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5299","試作材",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5299","試作材",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5299","試作材",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5299","試作材",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5601","K12ｻﾝﾌﾟﾙ用ｺﾝﾊﾟｳﾝﾄﾞ",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5601","K12ｻﾝﾌﾟﾙ用ｺﾝﾊﾟｳﾝﾄﾞ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5601","K12ｻﾝﾌﾟﾙ用ｺﾝﾊﾟｳﾝﾄﾞ",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5601","K12ｻﾝﾌﾟﾙ用ｺﾝﾊﾟｳﾝﾄﾞ",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5601","K12ｻﾝﾌﾟﾙ用ｺﾝﾊﾟｳﾝﾄﾞ",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5601","K12ｻﾝﾌﾟﾙ用ｺﾝﾊﾟｳﾝﾄﾞ",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5601","K12ｻﾝﾌﾟﾙ用ｺﾝﾊﾟｳﾝﾄﾞ",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5901","MagLastic NC65",,"実在庫",125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0
"8-5901","MagLastic NC65",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5901","MagLastic NC65",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5901","MagLastic NC65",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5901","MagLastic NC65",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5901","MagLastic NC65",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5901","MagLastic NC65",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-6101","S4A-5M",,"実在庫",40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
"8-6101","S4A-5M",,"実使用",4.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,
"8-6101","S4A-5M",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-6101","S4A-5M",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-6101","S4A-5M",10.7,"予定在庫",35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,27.2,19.0,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7
"8-6101","S4A-5M",,"使用計画",24.8,,,,,,,,,,,,,,,,,8.3,8.3,8.3,,,,,,,,,,,,
"8-6101","S4A-5M",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
