"26年03月","材料使用計画表","単位:材料=Kg 部品=個","作成日：","西暦26/03/16"
"部番","品名","在庫予定",,"合計","01*","02 ","03 ","04 ","05 ","06 ","07*","08*","09 ","10 ","11 ","12 ","13 ","14*","15*","16 ","17 ","18 ","19 ","20*","21*","22*","23 ","24 ","25 ","26 ","27 ","28*","29*","30 ","31 "
"5-5403","ＳＨＡＦＴ　９Ｄ２８",,"実在庫",,,,,,,,,,2400.0,,,,,,,,,,,,,,,,,,,,,,
"5-5403","ＳＨＡＦＴ　９Ｄ２８",,"実使用",2400.0,,,,,,,,,,2400.0,,,,,,,,,,,,,,,,,,,,,
"5-5403","ＳＨＡＦＴ　９Ｄ２８",,"発注",2400.0,,,,,,,,,2400.0,,,,,,,,,,,,,,,,,,,,,,
"5-5403","ＳＨＡＦＴ　９Ｄ２８",,"納入",2400.0,,,,,,,,,2400.0,,,,,,,,,,,,,,,,,,,,,,
"5-5403","ＳＨＡＦＴ　９Ｄ２８",,"予定在庫",,,,,,,,,,2400.0,,,,,,,,,,,,,,,,,,,,,,
"5-5403","ＳＨＡＦＴ　９Ｄ２８",,"使用計画",2400.0,,,,,,,,,,2400.0,,,,,,,,,,,,,,,,,,,,,
"5-5403","ＳＨＡＦＴ　９Ｄ２８",,"発注計画",2400.0,,,,,,,,,2400.0,,,,,,,,,,,,,,,,,,,,,,
"5-5404","ＳＨＡＦＴ　９Ｄ４７",,"実在庫",,,,,,2400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5404","ＳＨＡＦＴ　９Ｄ４７",,"実使用",2400.0,,,,,,2400.0,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5404","ＳＨＡＦＴ　９Ｄ４７",,"発注",2400.0,,,,,2400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5404","ＳＨＡＦＴ　９Ｄ４７",,"納入",2400.0,,,,,2400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5404","ＳＨＡＦＴ　９Ｄ４７",-400.0,"予定在庫",,,,,,2400.0,1200.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0
"5-5404","ＳＨＡＦＴ　９Ｄ４７",,"使用計画",2800.0,,,,,,1200.0,1600.0,,,,,,,,,,,,,,,,,,,,,,,,
"5-5404","ＳＨＡＦＴ　９Ｄ４７",,"発注計画",2400.0,,,,,2400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5405","ＳＨＡＦＴ　Ｌ３０",,"実在庫",,,,,,,,,,,,2400.0,,,,,,,,,,,,,,,,,,,,
